"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
macrocarnivores,Belonidae,Tylosurus crocodilus,"0.027
[0.001, 0.345]","0.081
[0.003, 0.466]","0.452
[0.021, 0.874]","0.318
[0.026, 0.924]"
macrocarnivores,Bothidae,-,"0.026
[0.002, 0.207]","0.27
[0.012, 0.805]","0.277
[0.039, 0.673]","0.306
[0.023, 0.867]"
macrocarnivores,Bothidae,Bothus mancus,"0.014
[0.001, 0.398]","0.66
[0.007, 0.868]","0.14
[0.018, 0.32]","0.14
[0.008, 0.941]"
macrocarnivores,Carangidae,-,"0.018
[0.001, 0.095]","0.043
[0.004, 0.18]","0.515
[0.14, 0.824]","0.393
[0.118, 0.802]"
macrocarnivores,Carangidae,Caranx melampygus,"0.011
[0.001, 0.058]","0.03
[0.002, 0.137]","0.477
[0.094, 0.747]","0.469
[0.184, 0.871]"
macrocarnivores,Carangidae,Caranx papuensis,"0.014
[0.001, 0.137]","0.03
[0.001, 0.182]","0.652
[0.069, 0.906]","0.269
[0.035, 0.888]"
macrocarnivores,Carangidae,Scomberoides lysan,"0.014
[0.001, 0.119]","0.027
[0.002, 0.142]","0.576
[0.057, 0.834]","0.361
[0.073, 0.893]"
macrocarnivores,Cirrhitidae,-,"0.018
[0.002, 0.086]","0.159
[0.025, 0.437]","0.462
[0.198, 0.734]","0.326
[0.074, 0.675]"
macrocarnivores,Cirrhitidae,Cirrhitus pinnulatus,"0.017
[0.001, 0.096]","0.21
[0.014, 0.454]","0.425
[0.181, 0.623]","0.324
[0.044, 0.739]"
macrocarnivores,Cirrhitidae,Paracirrhites forsteri,"0.01
[0.001, 0.059]","0.132
[0.01, 0.324]","0.564
[0.308, 0.726]","0.281
[0.032, 0.64]"
macrocarnivores,Cirrhitidae,Paracirrhites hemistictus,"0.015
[0.001, 0.083]","0.258
[0.035, 0.43]","0.434
[0.252, 0.568]","0.289
[0.05, 0.619]"
macrocarnivores,Epinephelidae,-,"0.028
[0.007, 0.079]","0.052
[0.007, 0.168]","0.516
[0.255, 0.72]","0.389
[0.185, 0.678]"
macrocarnivores,Epinephelidae,Cephalopholis argus,"0.024
[0.002, 0.08]","0.032
[0.002, 0.142]","0.243
[0.021, 0.449]","0.68
[0.431, 0.959]"
macrocarnivores,Epinephelidae,Cephalopholis leopardus,"0.012
[0.001, 0.056]","0.034
[0.002, 0.197]","0.614
[0.212, 0.886]","0.308
[0.052, 0.758]"
macrocarnivores,Epinephelidae,Cephalopholis sexmaculata,"0.019
[0.002, 0.101]","0.031
[0.002, 0.137]","0.714
[0.152, 0.919]","0.213
[0.034, 0.796]"
macrocarnivores,Epinephelidae,Cephalopholis urodeta,"0.019
[0.002, 0.065]","0.044
[0.003, 0.17]","0.633
[0.41, 0.802]","0.29
[0.077, 0.552]"
macrocarnivores,Epinephelidae,Epinephelus fasciatus,"0.027
[0.002, 0.104]","0.049
[0.003, 0.192]","0.625
[0.37, 0.789]","0.279
[0.075, 0.585]"
macrocarnivores,Epinephelidae,Epinephelus hexagonatus,"0.024
[0.002, 0.084]","0.057
[0.004, 0.221]","0.526
[0.299, 0.706]","0.377
[0.11, 0.658]"
macrocarnivores,Epinephelidae,Epinephelus merra,"0.08
[0.036, 0.144]","0.07
[0.004, 0.236]","0.144
[0.037, 0.279]","0.689
[0.492, 0.855]"
macrocarnivores,Epinephelidae,Variola louti,"0.021
[0.002, 0.114]","0.033
[0.002, 0.152]","0.739
[0.255, 0.903]","0.182
[0.039, 0.661]"
macrocarnivores,Fistulariidae,-,"0.028
[0.002, 0.162]","0.095
[0.008, 0.414]","0.445
[0.099, 0.818]","0.372
[0.059, 0.825]"
macrocarnivores,Fistulariidae,Fistularia commersonii,"0.022
[0.001, 0.121]","0.108
[0.005, 0.299]","0.508
[0.099, 0.731]","0.342
[0.039, 0.833]"
macrocarnivores,Holocentridae,-,"0.023
[0.002, 0.087]","0.117
[0.017, 0.32]","0.268
[0.093, 0.513]","0.559
[0.297, 0.826]"
macrocarnivores,Holocentridae,Neoniphon argenteus,"0.028
[0.001, 0.225]","0.223
[0.008, 0.671]","0.144
[0.017, 0.374]","0.533
[0.098, 0.93]"
macrocarnivores,Holocentridae,Neoniphon sammara,"0.032
[0.001, 0.131]","0.187
[0.011, 0.462]","0.162
[0.032, 0.34]","0.607
[0.23, 0.875]"
macrocarnivores,Holocentridae,Sargocentron caudimaculatum,"0.021
[0.001, 0.119]","0.107
[0.007, 0.39]","0.304
[0.036, 0.603]","0.536
[0.122, 0.913]"
macrocarnivores,Holocentridae,Sargocentron microstoma,"0.012
[0.001, 0.057]","0.182
[0.013, 0.364]","0.159
[0.041, 0.308]","0.638
[0.392, 0.887]"
macrocarnivores,Holocentridae,Sargocentron spiniferum,"0.013
[0.001, 0.068]","0.044
[0.004, 0.14]","0.224
[0.02, 0.447]","0.706
[0.455, 0.948]"
macrocarnivores,Holocentridae,Sargocentron tiere,"0.017
[0.001, 0.074]","0.071
[0.007, 0.192]","0.558
[0.37, 0.721]","0.345
[0.108, 0.584]"
macrocarnivores,Labridae,-,"0.024
[0.002, 0.121]","0.085
[0.007, 0.297]","0.301
[0.071, 0.598]","0.554
[0.241, 0.876]"
macrocarnivores,Labridae,Cheilio inermis,"0.029
[0.001, 0.302]","0.196
[0.003, 0.537]","0.235
[0.025, 0.522]","0.468
[0.091, 0.93]"
macrocarnivores,Labridae,Epibulus insidiator,"0.009
[0, 0.051]","0.026
[0.002, 0.109]","0.125
[0.009, 0.349]","0.823
[0.579, 0.973]"
macrocarnivores,Labridae,Oxycheilinus unifasciatus,"0.022
[0.001, 0.107]","0.085
[0.004, 0.292]","0.476
[0.136, 0.68]","0.396
[0.093, 0.817]"
macrocarnivores,Lethrinidae,-,"0.096
[0.019, 0.322]","0.061
[0.004, 0.265]","0.112
[0.01, 0.45]","0.675
[0.34, 0.907]"
