id,year,type,species,tl,sl,weight,d15N,d13C
CT_ST_MO_03_16_005,2016,Fishes,Ctenochaetus striatus,19.1168,13.931299999999998,73,8.05669987953162,-10.3353038343089
CT_ST_MO_03_16_006,2016,Fishes,Ctenochaetus striatus,17.8766,13.092099999999999,76,8.1727421613741,-9.75969302063598
CT_ST_MO_03_16_007,2016,Fishes,Ctenochaetus striatus,21.7856,16.689,136,9.07330961362175,-9.58124278728557
CT_ST_MO_03_16_008,2016,Fishes,Ctenochaetus striatus,21.7629,17.2337,148,8.17373397574882,-8.61717628272179
CT_ST_MO_03_16_009,2016,Fishes,Ctenochaetus striatus,21.122,15.7309,107,8.78469163057763,-10.5638071818918
CT_ST_MO_03_16_010,2016,Fishes,Ctenochaetus striatus,18.8335,13.8506,90,8.97611180489899,-10.8858880908657
CT_ST_MO_03_16_011,2016,Fishes,Ctenochaetus striatus,19.6762,14.795300000000001,113,8.84023323556207,-10.6367106308825
CT_ST_MO_03_16_012,2016,Fishes,Ctenochaetus striatus,15.253,10.928799999999999,52,8.21638199386187,-9.26677865656443
CT_ST_MO_03_16_013,2016,Fishes,Ctenochaetus striatus,20.461199999999998,15.221799999999998,108,8.76882260058207,-9.74228324177253
CT_ST_MO_03_16_014,2016,Fishes,Ctenochaetus striatus,19.9478,14.640899999999998,86,8.37209685069324,-10.0491305942409
CT_ST_MO_03_16_015,2016,Fishes,Ctenochaetus striatus,21.3417,15.9631,125,8.48218824628739,-9.99798936882951
CT_ST_MO_03_16_016,2016,Fishes,Ctenochaetus striatus,17.5166,12.8228,69,8.35821144944713,-10.3907975044362
CT_ST_MO_03_16_017,2016,Fishes,Ctenochaetus striatus,19.2732,14.0368,87,8.13108595763578,-9.7847195777522
DA_AR_MO_03_16_001,2016,Fishes,Dascyllus aruanus,7.063899999999999,5.3843000000000005,7.8,9.91639556606606,-12.0772426901182
DA_AR_MO_03_16_002,2016,Fishes,Dascyllus aruanus,6.718500000000001,5.005,6.5,10.0284874172273,-12.5343666761574
DA_AR_MO_03_16_003,2016,Fishes,Dascyllus aruanus,6.3114,5.0377,5.8,9.37379164938302,-11.7916733934784
DA_AR_MO_03_16_004,2016,Fishes,Dascyllus aruanus,6.5416,4.9041,5.4,9.98781692255816,-12.2392073658244
DA_AR_MO_03_16_005,2016,Fishes,Dascyllus aruanus,6.1618,4.7257,4.6,8.90161712590747,-11.3047138092828
DA_AR_MO_03_16_006,2016,Fishes,Dascyllus aruanus,6.3131,4.7603,5,9.31427385230627,-11.7042977131632
DA_AR_MO_03_16_007,2016,Fishes,Dascyllus aruanus,6.0622,4.8223,5.5,10.0612222056195,-12.132651658123
DA_AR_MO_03_16_008,2016,Fishes,Dascyllus aruanus,6.0280000000000005,4.5629,4.6,8.92542424473817,-11.9994570234962
DA_AR_MO_03_16_009,2016,Fishes,Dascyllus aruanus,6.1187,4.8053,4.6,9.00081345436872,-13.8183629539598
DA_AR_MO_03_16_010,2016,Fishes,Dascyllus aruanus,5.8874,4.5309,4.1,9.66344492848987,-12.7453469774063
DA_AR_MO_03_16_011,2016,Fishes,Dascyllus aruanus,5.6828,4.4823,3.5,9.58408786572087,-12.352156415988
DA_AR_MO_03_16_012,2016,Fishes,Dascyllus aruanus,5.6892000000000005,4.358700000000001,3.7,9.1575436533375,-12.2562562790567
DA_AR_MO_03_16_013,2016,Fishes,Dascyllus aruanus,5.8112,4.3346,4.1,8.81928417328463,-11.6243809323871
DA_AR_MO_03_16_014,2016,Fishes,Dascyllus aruanus,5.4764,4.0981000000000005,3.5,9.15853561662211,-12.3660086579892
DA_AR_MO_03_16_015,2016,Fishes,Dascyllus aruanus,5.4088,4.0908,3.2,9.26963550449871,-11.9536380691846
DA_AR_MO_03_16_016,2016,Fishes,Dascyllus aruanus,5.444100000000001,4.1677,3.4,9.47794779426733,-12.9232950092677
DA_AR_MO_03_16_017,2016,Fishes,Dascyllus aruanus,5.5367,4.2768999999999995,4.1,9.35990416339845,-11.7511822245518
DA_AR_MO_03_16_018,2016,Fishes,Dascyllus aruanus,5.135199999999999,3.9012000000000002,2.9,9.04346787560706,-12.1944539685898
DA_AR_MO_03_16_019,2016,Fishes,Dascyllus aruanus,5.1729,4.2203,3.1,9.13076064465296,-11.691511028239
DA_AR_MO_03_16_020,2016,Fishes,Dascyllus aruanus,5.061999999999999,3.9353000000000002,2.9,9.50076294981342,-12.3361730598327
EP_IN_MO_03_16_001,2016,Fishes,Epibulus insidiator,21.9548,17.7795,187.7,11.2764684606895,-12.1280164155803
EP_IN_MO_03_16_002,2016,Fishes,Epibulus insidiator,25.9527,20.7899,230.3,13.7250931648661,-16.0651821957288
EP_IN_MO_03_16_003,2016,Fishes,Epibulus insidiator,21.5213,17.4545,128.2,13.5268239580502,-14.9899637467467
